,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
1880,,,profundamente insatisfeito,minh maquin esta emit ruid altos com poss diminu o barulh,
1881,,,estou profund insatisfeit,maquina emitindo ruidos alto posso diminuir barulho,
1882,,,profund insatisfeit,minh maquin esta emit ruid alto com poss diminu o barulh,
1883,,,estou bastante insatisfeito com o produto,maquin emit ruid altos poss diminu barulh,
1884,,,bastante insatisfeito produto,qual e a melhor maneira de evitar problemas em minha linha de produçao,
1885,,,estou bastant insatisfeit com o produt,melhor maneira evitar problemas linha produçao,
1886,,,bastant insatisfeit produt,qual e a melhor maneir de evit problem em minh linh de produça,
1887,,,nao estou satisfeito com o tratamento recebido,melhor maneir evit problem linh produça,
1888,,,nao satisfeito tratamento recebido,estou com dificuldade em instalar um novo equipamento como posso solucionar,
1889,,,nao estou satisfeit com o tratament receb,dificuldade instalar novo equipamento posso solucionar,
1890,,,nao satisfeit tratament receb,estou com dificuldad em instal um nov equip com poss solucion,
1891,,,estou bastante insatisfeito com a experiencia,dificuldad instal nov equip poss solucion,
1892,,,bastante insatisfeito experiencia,estou com problemas eletricos na minha maquina o que eu faço,
1893,,,estou bastant insatisfeit com a experienc,problemas eletricos maquina faço,
1894,,,bastant insatisfeit experienc,estou com problem eletr na minh maquin o que eu fac,
1895,,,nao estou nada satisfeito com a qualidade,problem eletr maquin fac,
1896,,,nao nada satisfeito qualidade,estou com dificuldades para ajustar o equipamento o que devo fazer,
1897,,,nao estou nad satisfeit com a qualidad,dificuldades ajustar equipamento devo fazer,
1898,,,nao nad satisfeit qualidad,estou com dificuldad par ajust o equip o que dev faz,
1899,,,estou muito desapontado com o resultado,dificuldad ajust equip dev faz,
1900,,,desapontado resultado,minha maquina esta produzindo menos do que o esperado o que pode estar ocorrendo,
1901,,,estou muit desapont com o result,maquina produzindo menos esperado pode ocorrendo,
1902,,,desapont result,minh maquin esta produz men do que o esper o que pod estar ocorr,
1903,,,estou bastante frustrado com a resposta,maquin produz men esper pod ocorr,
1904,,,bastante frustrado resposta,meu equipamento esta superaquecendo como posso evitar problemas maiores,
1905,,,estou bastant frustr com a respost,equipamento superaquecendo posso evitar problemas maiores,
1906,,,bastant frustr respost,meu equip esta superaquec com poss evit problem maior,
1907,,,nao estou contente com a soluçao apresentada,equip superaquec poss evit problem maior,
1908,,,nao contente soluçao apresentada,como posso solucionar um problema de falta de energia eletrica em minha fabrica,
1909,,,nao estou content com a soluça apresent,posso solucionar problema falta energia eletrica fabrica,
1910,,,nao content soluça apresent,com poss solucion um problem de falt de energ eletr em minh fabric,
1911,,,estou insatisfeito com o desempenho,poss solucion problem falt energ eletr fabric,
1912,,,insatisfeito desempenho,estou com problemas na instalaçao eletrica da minha fabrica,
1913,,,estou insatisfeit com o desempenh,problemas instalaçao eletrica fabrica,
1914,,,insatisfeit desempenh,estou com problem na instalaça eletr da minh fabric,
1915,,,estou desapontado com o suporte tecnico,problem instalaça eletr fabric,
1916,,,desapontado suporte tecnico,nao consigo encontrar a causa de um defeito em uma maquina,
1917,,,estou desapont com o suport tecnic,nao consigo encontrar causa defeito maquina,
1918,,,desapont suport tecnic,nao consig encontr a caus de um defeit em uma maquin,
1919,,,nao estou feliz com o atendimento recebido,nao consig encontr caus defeit maquin,
1920,,,nao feliz atendimento recebido,minha maquina esta superaquecendo o que devo fazer,
1921,,,nao estou feliz com o atend receb,maquina superaquecendo devo fazer,
1922,,,nao feliz atend receb,minh maquin esta superaquec o que dev faz,
1923,,,estou bastante insatisfeito com a falta de resoluçao,maquin superaquec dev faz,
1924,,,bastante insatisfeito falta resoluçao,estou enfrentando dificuldades para fazer a manutençao preventiva o que pode estar errado,
1925,,,estou bastant insatisfeit com a falt de resoluça,enfrentando dificuldades fazer manutençao preventiva pode errado,
1926,,,bastant insatisfeit falt resoluça,estou enfrent dificuldad par faz a manutença prevent o que pod estar errad,
1927,,,estou realmente insatisfeito com a demora,enfrent dificuldad faz manutença prevent pod errad,
1928,,,realmente insatisfeito demora,nao sei como solucionar um problema com um equipamento mecanico,
1929,,,estou realment insatisfeit com a demor,nao sei solucionar problema equipamento mecanico,
1930,,,realment insatisfeit demor,nao sei com solucion um problem com um equip mecan,
1931,,,nao estou nada satisfeito com a comunicaçao,nao sei solucion problem equip mecan,
1932,,,nao nada satisfeito comunicaçao,o que e preciso fazer para evitar a corrosao de peças do equipamento,
1933,,,nao estou nad satisfeit com a comunicaça,preciso fazer evitar corrosao peças equipamento,
1934,,,nao nad satisfeit comunicaça,o que e precis faz par evit a corrosa de pec do equip,
1935,,,estou muito decepcionado com a falta de suporte,precis faz evit corrosa pec equip,
1936,,,decepcionado falta suporte,estou tendo problema com um motor eletrico,
1937,,,estou muit decepcion com a falt de suport,tendo problema motor eletrico,
1938,,,decepcion falt suport,estou tend problem com um motor eletr,
1939,,,estou extremamente chateado com a falta de compromisso,tend problem motor eletr,
1940,,,extremamente chateado falta compromisso,o que fazer para solucionar um problema de superaquecimento da minha maquina,
1941,,,estou extrem chat com a falt de compromiss,fazer solucionar problema superaquecimento maquina,
1942,,,extrem chat falt compromiss,o que faz par solucion um problem de superaquec da minh maquin,
1943,,,nao estou nada satisfeito com a falta de profissionalismo,faz solucion problem superaquec maquin,
1944,,,nao nada satisfeito falta profissionalismo,estou com problemas em identificar a causa de uma falha em uma maquina de solda,
1945,,,nao estou nad satisfeit com a falt de profissional,problemas identificar causa falha maquina solda,
1946,,,nao nad satisfeit falt profissional,estou com problem em identific a caus de uma falh em uma maquin de sold,
1947,,,estou profundamente insatisfeito com a falta de resposta,problem identific caus falh maquin sold,
1948,,,profundamente insatisfeito falta resposta,estou com dificuldades em diagnosticar um problema em um sistema de refrigeraçao,
1949,,,estou profund insatisfeit com a falt de respost,dificuldades diagnosticar problema sistema refrigeraçao,
1950,,,profund insatisfeit falt respost,estou com dificuldad em diagnostic um problem em um sistem de refrigeraça,
1951,,,estou bastante insatisfeito com a falta de empatia,dificuldad diagnostic problem sistem refrigeraça,
1952,,,bastante insatisfeito falta empatia,como posso solucionar problemas com a transmissao de minha maquina,
1953,,,estou bastant insatisfeit com a falt de empat,posso solucionar problemas transmissao maquina,
1954,,,bastant insatisfeit falt empat,com poss solucion problem com a transmissa de minh maquin,
1955,,,nao estou satisfeito com a falta de atençao,poss solucion problem transmissa maquin,
1956,,,nao satisfeito falta atençao,preciso realizar a calibraçao de meu equipamento como fazer,
1957,,,nao estou satisfeit com a falt de atença,preciso realizar calibraçao equipamento fazer,
1958,,,nao satisfeit falt atença,precis realiz a calibraça de meu equip com faz,
1959,,,estou muito insatisfeito com a falta de soluçao,precis realiz calibraça equip faz,
1960,,,insatisfeito falta soluçao,como posso resolver um problema de sobrecarga,
1961,,,estou muit insatisfeit com a falt de soluça,posso resolver problema sobrecarga,
1962,,,insatisfeit falt soluça,com poss resolv um problem de sobrecarg,
1963,,,estou bastante desapontado com a falta de comprometimento,poss resolv problem sobrecarg,
1964,,,bastante desapontado falta comprometimento,preciso de ajuda para resolver um problema com um equipamento hidraulico,
1965,,,estou bastant desapont com a falt de compromet,preciso ajuda resolver problema equipamento hidraulico,
1966,,,bastant desapont falt compromet,precis de ajud par resolv um problem com um equip hidraul,
1967,,,estou insatisfeito com a falta de transparencia,precis ajud resolv problem equip hidraul,
1968,,,insatisfeito falta transparencia,estou com dificuldades para entender o manual de instruçoes da maquina pode me ajudar,
1969,,,estou insatisfeit com a falt de transparenc,dificuldades entender manual instruçoes maquina pode ajudar,
1970,,,insatisfeit falt transparenc,estou com dificuldad par entend o manual de instruço da maquin pod me ajud,
1971,,,estou desapontado com a falta de conhecimento,dificuldad entend manual instruço maquin pod ajud,
1972,,,desapontado falta conhecimento,estou tendo dificuldade em solucionar um problema com a automaçao de um processo produtivo,
1973,,,estou desapont com a falt de conhec,tendo dificuldade solucionar problema automaçao processo produtivo,
1974,,,desapont falt conhec,estou tend dificuldad em solucion um problem com a automaça de um process produt,
1975,,,nao estou feliz com a falta de acompanhamento,tend dificuldad solucion problem automaça process produt,
1976,,,nao feliz falta acompanhamento,preciso de ajuda para solucionar um circuito eletrico,
1977,,,nao estou feliz com a falt de acompanh,preciso ajuda solucionar circuito eletrico,
1978,,,nao feliz falt acompanh,precis de ajud par solucion um circuit eletr,
1979,,,estou bastante insatisfeito com a falta de agilidade,precis ajud solucion circuit eletr,
1980,,,bastante insatisfeito falta agilidade,estou com dificuldades para operar um novo equipamento pode me auxiliar,
1981,,,estou bastant insatisfeit com a falt de agil,dificuldades operar novo equipamento pode auxiliar,
1982,,,bastant insatisfeit falt agil,estou com dificuldad par oper um nov equip pod me auxili,
1983,,,estou insatisfeito com a falta de cuidado,dificuldad oper nov equip pod auxili,
1984,,,insatisfeito falta cuidado,como posso solucionar o vazamento de oleo que esta ocorrendo na minha fabrica,
1985,,,estou insatisfeit com a falt de cuid,posso solucionar vazamento oleo ocorrendo fabrica,
1986,,,insatisfeit falt cuid,com poss solucion o vazament de ole que esta ocorr na minh fabric,
1987,,,nao estou satisfeito com a falta de profissionalismo,poss solucion vazament ole ocorr fabric,
1988,,,nao satisfeito falta profissionalismo,minha maquina esta apresentando erros de programaçao como posso resolver,
1989,,,nao estou satisfeit com a falt de profissional,maquina apresentando erros programaçao posso resolver,
1990,,,nao satisfeit falt profissional,minh maquin esta apresent erros de programaça com poss resolv,
1991,,,estou muito desapontado com a falta de suporte tecnico,maquin apresent erros programaça poss resolv,
1992,,,desapontado falta suporte tecnico,estou com problema no sistema de ar condicionado,
1993,,,estou muit desapont com a falt de suport tecnic,problema sistema ar condicionado,
1994,,,desapont falt suport tecnic,estou com problem no sistem de ar condicion,
1995,,,estou bastante frustrado com a falta de comunicaçao,problem sistem ar condicion,
1996,,,bastante frustrado falta comunicaçao,nao consigo solucionar um defeito em um sistema de iluminaçao,
1997,,,estou bastant frustr com a falt de comunicaça,nao consigo solucionar defeito sistema iluminaçao,
1998,,,bastant frustr falt comunicaça,nao consig solucion um defeit em um sistem de iluminaça,
1999,,,nao estou contente com a falta de compromisso,nao consig solucion defeit sistem iluminaça,
